DeviceID,DataTime,CurrentA,CurrentB,CurrentC,ActivePower,AppearentPower,ReactivePower,VoltageA,VoltageB,VoltageC
100628,2/1/2020 0:10,274.498,279.786,261.852,15.187,15.199,-0.582,18.652,18.657,18.651
100628,2/1/2020 0:20,267.839,271.889,254.033,14.792,14.807,-0.643,18.689,18.686,18.68

